Cidade,Área,Quartos,Banheiros,Garagem,Andar,Animal,Mobília
Rio de Janeiro,30,1,1,0,20,not acept,not furnished
Porto Alegre,55,2,1,0,1,acept,not furnished
São Paulo,253,3,5,5,9,acept,not furnished
São Paulo,147,3,2,0,9,not acept,furnished
São Paulo,110,3,3,1,7,acept,not furnished
São Paulo,400,4,3,4,-,acept,not furnished
Porto Alegre,350,5,4,2,-,acept,not furnished
São Paulo,510,5,5,5,-,not acept,furnished
São Paulo,246,3,4,4,9,acept,furnished
Campinas,92,3,4,2,1,acept,not furnished
São Paulo,54,2,2,1,6,not acept,not furnished
São Paulo,130,3,2,0,12,acept,not furnished
Rio de Janeiro,53,2,2,1,7,acept,not furnished
São Paulo,59,2,1,1,10,acept,not furnished
Belo Horizonte,153,3,2,2,-,acept,not furnished
São Paulo,78,2,1,1,1,acept,not furnished
São Paulo,305,3,3,3,8,acept,not furnished
Campinas,54,1,1,1,9,acept,not furnished
São Paulo,80,2,2,0,2,acept,not furnished
São Paulo,26,1,1,0,6,acept,not furnished
São Paulo,96,2,1,1,8,not acept,not furnished
Campinas,70,3,1,1,1,acept,not furnished
São Paulo,56,2,1,1,11,acept,furnished
Belo Horizonte,320,5,3,4,-,acept,not furnished
São Paulo,30,1,1,0,-,not acept,not furnished
Rio de Janeiro,45,1,1,0,11,not acept,not furnished
Campinas,60,2,1,0,1,acept,not furnished
São Paulo,101,2,3,1,12,acept,not furnished
São Paulo,220,4,4,2,10,acept,not furnished
São Paulo,60,2,1,0,-,not acept,not furnished
São Paulo,62,2,1,1,3,acept,not furnished
Rio de Janeiro,65,2,1,1,3,acept,not furnished
Porto Alegre,111,2,2,1,-,acept,not furnished
São Paulo,140,2,1,2,-,acept,not furnished
São Paulo,17,1,1,0,1,not acept,furnished
São Paulo,90,3,2,2,7,acept,not furnished
São Paulo,40,1,1,0,-,not acept,not furnished
Rio de Janeiro,70,2,2,0,7,not acept,furnished
São Paulo,370,4,5,5,17,acept,furnished
Porto Alegre,48,2,1,1,3,acept,not furnished
Belo Horizonte,130,3,2,1,2,acept,not furnished
São Paulo,303,3,4,4,1,acept,furnished
São Paulo,150,3,4,3,6,acept,not furnished
São Paulo,45,1,1,1,1,not acept,furnished
Belo Horizonte,190,4,4,3,1,not acept,not furnished
Belo Horizonte,250,4,4,0,-,acept,not furnished
Campinas,78,3,2,2,3,acept,not furnished
São Paulo,160,3,3,2,-,acept,not furnished
Rio de Janeiro,100,3,2,1,6,acept,not furnished
São Paulo,298,3,4,3,-,acept,furnished
Porto Alegre,140,3,3,1,-,acept,not furnished
São Paulo,78,2,2,2,13,acept,not furnished
Campinas,47,1,1,1,12,acept,not furnished
São Paulo,80,2,1,2,2,acept,furnished
São Paulo,20,1,1,0,6,acept,furnished
São Paulo,60,2,1,1,5,acept,not furnished
Rio de Janeiro,52,1,1,0,12,not acept,furnished
Belo Horizonte,75,3,1,1,4,acept,not furnished
São Paulo,45,2,1,1,4,acept,furnished
São Paulo,26,1,1,0,-,not acept,not furnished
Belo Horizonte,120,3,2,0,-,acept,not furnished
São Paulo,239,4,4,4,15,acept,not furnished
São Paulo,22,1,1,1,19,not acept,not furnished
São Paulo,750,7,6,5,-,acept,furnished
Rio de Janeiro,148,3,2,2,1,acept,not furnished
Rio de Janeiro,80,2,1,0,10,not acept,not furnished
São Paulo,76,3,1,2,2,acept,furnished
São Paulo,45,1,1,1,3,acept,not furnished
Campinas,74,3,2,1,7,acept,not furnished
Porto Alegre,38,1,1,1,3,acept,not furnished
São Paulo,57,1,1,0,10,acept,furnished
São Paulo,40,1,1,0,-,not acept,not furnished
São Paulo,147,3,3,2,7,acept,not furnished
São Paulo,300,4,5,2,6,acept,furnished
São Paulo,50,2,1,1,3,acept,not furnished
Porto Alegre,55,1,1,1,10,not acept,furnished
