Cidade,Área,Quartos,Banheiros,Garagem,Andar,Animal,Mobília,Aluguel
São Paulo,540,4,4,6,-,acept,not furnished,6841
Porto Alegre,271,4,3,1,7,acept,not furnished,5957
São Paulo,23,1,1,0,23,acept,not furnished,2560
São Paulo,360,3,5,2,1,acept,not furnished,19530
Porto Alegre,184,3,3,2,6,acept,not furnished,6889
Rio de Janeiro,120,3,2,0,6,acept,not furnished,3278
São Paulo,279,3,3,8,-,acept,furnished,3735
Porto Alegre,160,3,2,2,4,acept,not furnished,2960
Belo Horizonte,360,4,3,3,-,acept,not furnished,3526
São Paulo,450,4,6,4,4,acept,not furnished,21690
Campinas,76,3,1,1,2,acept,not furnished,1889
São Paulo,80,3,4,1,-,acept,not furnished,3046
Porto Alegre,121,3,2,2,2,acept,not furnished,3544
São Paulo,67,2,1,0,3,acept,not furnished,1758
São Paulo,32,1,1,1,18,not acept,furnished,5379
São Paulo,201,4,4,4,13,acept,not furnished,9509
São Paulo,30,1,1,1,5,acept,furnished,4534
Belo Horizonte,540,5,4,8,-,acept,not furnished,8027
São Paulo,330,4,3,0,9,acept,not furnished,15610
Porto Alegre,250,5,4,5,-,acept,not furnished,4461
Porto Alegre,47,1,1,1,1,not acept,furnished,2633
São Paulo,400,4,5,3,3,acept,furnished,11940
Campinas,308,3,3,4,-,acept,not furnished,5444
São Paulo,71,2,1,1,10,acept,not furnished,4034
São Paulo,66,2,1,1,3,acept,not furnished,2978
Porto Alegre,45,2,1,0,1,acept,not furnished,1015
São Paulo,98,1,2,2,9,acept,not furnished,5714
Porto Alegre,50,1,1,0,1,acept,not furnished,1450
São Paulo,35,1,1,0,4,acept,not furnished,2042
São Paulo,720,4,6,5,-,acept,furnished,15560
São Paulo,400,4,7,4,-,acept,furnished,12850
Belo Horizonte,203,4,3,3,11,not acept,not furnished,9957
Rio de Janeiro,56,2,1,0,4,acept,not furnished,2022
Rio de Janeiro,70,2,2,0,11,acept,not furnished,2526
Rio de Janeiro,95,2,2,2,11,acept,not furnished,8099
São Paulo,54,2,2,1,12,acept,not furnished,3982
Campinas,100,3,2,1,3,acept,not furnished,2083
São Paulo,30,1,1,0,-,not acept,not furnished,874
Rio de Janeiro,80,2,1,1,20,acept,not furnished,1502
Rio de Janeiro,68,2,1,1,4,not acept,furnished,3958
São Paulo,270,3,2,2,15,acept,not furnished,12700
São Paulo,64,1,2,1,4,acept,furnished,4782
Belo Horizonte,92,2,1,0,-,acept,not furnished,1280
São Paulo,380,4,1,0,-,acept,not furnished,3065
São Paulo,140,3,2,2,-,acept,not furnished,5546
São Paulo,200,3,4,3,8,acept,not furnished,8570
São Paulo,67,2,2,2,12,acept,furnished,5908
